"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Inciarte, Ender","542255","2018","660","10","86",13,7.4,".265",".380",".325",".308",".296",32.8,1.5,18.7,"93.757705476","90.921322698",31,14.4,50.3
"Ozuna, Marcell","542303","2018","628","23","110",17.5,6.1,".280",".433",".325",".327",".358",30.3,9.7,45.1,"102.886295042","95.740956463",27.8,24.3,48.5
"Villar, Jonathan","542340","2018","515","14","138",26.8,8,".260",".384",".325",".312",".288",27.2,5.1,36,"98.982895563","93.56982325",27.8,29.3,48.9
"Aguilar, Jesús","542583","2018","566","35","143",25.3,10.2,".274",".539",".352",".374",".356",38.2,11.4,42.9,"100.514656","94.533110864",33.8,28.7,45.5
"Crawford, Brandon","543063","2018","594","14","122",20.5,8.4,".254",".394",".325",".306",".305",37.2,3.6,33.3,"97.383235194","92.718286578",29.8,29.2,52.1
"Cron, C.J.","543068","2018","560","30","145",25.9,6.6,".253",".493",".323",".347",".345",34.3,12.2,36.6,"100.817058453","94.484469806",34.9,29.1,50.8
"Hicks, Aaron","543305","2018","581","27","111",19.1,15.5,".248",".467",".366",".360",".372",34.2,8.8,43,"99.91669773","94.148582324",18.2,23.1,40
"Hosmer, Eric","543333","2018","677","18","142",21,9.2,".253",".398",".322",".309",".302",26.3,5.9,38.2,"100.755741595","94.460155032",29.3,27.6,48.5
"Kipnis, Jason","543401","2018","601","18","112",18.6,10,".230",".389",".315",".308",".318",34.4,6.6,31.6,"96.725167833","92.385166305",25.9,20.8,43
"Rendon, Anthony","543685","2018","597","24","82",13.7,9.2,".308",".535",".374",".383",".384",39.8,10.3,44.8,"100.518330132","94.575829692",23.8,13.9,47.7
"Semien, Marcus","543760","2018","703","15","131",18.6,8.7,".255",".388",".318",".307",".305",34.9,4.5,32.1,"96.985600317","92.497777778",23.6,20.3,43.8
"Shaw, Travis","543768","2018","587","32","108",18.4,13.3,".241",".480",".345",".351",".350",31.2,10.3,38.3,"100.143580711","94.174454707",25.2,20.3,44.8
