"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Scherzer, Max","453286","2019","693","18","243",35.1,4.8,".222",".371",".266",".269",".253",35.2,6.6,35.5,"76.796564853","93.26843887",34.1,33.8,52.5
"Arrieta, Jake","453562","2019","594","21","110",18.5,8.6,".283",".448",".351",".339",".337",33.8,6.8,37.6,"79.195905024","93.791637126",28.2,18,44
"Bailey, Homer","456701","2019","696","21","149",21.4,7.6,".256",".403",".316",".307",".318",31.6,5.7,39.5,"80.757001033","94.235323884",29.6,24.1,48.5
"Happ, J.A.","457918","2019","678","34","140",20.6,7.2,".258",".469",".316",".329",".331",33.3,8.3,37.5,"79.019139333","93.794312004",28.4,23.6,48.1
"Lynn, Lance","458681","2019","875","21","246",28.1,6.7,".243",".390",".300",".294",".283",34,5.9,33.8,"77.48156893","93.230290407",28.3,28.5,49
"Nova, Iván","467100","2019","806","30","114",14.1,5.8,".303",".483",".350",".351",".352",34.6,7.2,38.4,"77.427465176","94.102419968",30.9,18.4,48.9
"Anderson, Brett","474463","2019","743","20","90",12.1,6.6,".265",".408",".317",".308",".347",30.5,7.3,40,"78.996192736","94.183617343",27.3,17,47.5
"Kershaw, Clayton","477132","2019","706","28","189",26.8,5.8,".222",".394",".269",".280",".289",30.1,6.6,34.1,"78.595967339","93.45842669",34.3,27.4,51.3
"Cashner, Andrew","488768","2019","636","19","108",17,9.1,".253",".418",".324",".317",".343",31.8,7.7,41,"79.419470996","94.166951818",26.3,22.5,45.3
"Miley, Wade","489119","2019","720","23","140",19.4,8.5,".254",".406",".321",".311",".307",29,4.3,32.5,"76.949157521","93.08191824",26.8,22.8,44.6
"Quintana, Jose","500779","2019","745","20","152",20.4,6.2,".282",".440",".323",".321",".326",34.7,5.7,37.9,"80.580937899","93.957980447",26.7,20.9,44.3
"Pineda, Michael","501381","2019","600","23","140",23.3,4.7,".253",".430",".291",".301",".313",35.4,7.3,37.4,"79.732935764","93.936582759",33.5,25.5,52.6
"Minor, Mike","501985","2019","863","30","200",23.2,7.9,".244",".395",".308",".301",".297",31.6,7,30.4,"76.162254845","92.844435876",29.2,26.2,47.8
"Archer, Chris","502042","2019","526","25","143",27.2,10.5,".249",".461",".333",".334",".346",40.7,10.5,39.5,"78.484095414","94.280519936",30.5,29.5,45.9
"Gibson, Kyle","502043","2019","706","23","160",22.7,7.9,".275",".443",".339",".333",".333",32.8,7.5,37.8,"76.984740798","93.893180021",33.4,29.2,46.6
"Samardzija, Jeff","502188","2019","740","28","140",18.9,6.6,".225",".411",".281",".289",".326",34.5,8.3,37.7,"79.575589554","93.884060149",28.2,19.9,48.3
