"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Sears, JP","676664","2023","735",21.9,7.2,".335",".330",32.7,11.1,38.4,"77.25363428","94.084952044",24.7,51
"Crawford, Kutter","676710","2023","527",25.6,6.8,".290",".280",30.5,7.7,35.3,"76.355210455","93.712169573",26.8,52.4
"Bello, Brayan","678394","2023","668",19.8,6.7,".334",".315",28,7,44.3,"78.007244174","94.760085031",24.4,48.4
"Rodriguez, Grayson","680570","2023","515",25,8.2,".320",".316",33.4,7.3,43.7,"79.61343345","94.422562845",26.3,50.4
"Gray, Josiah","680686","2023","698",20.5,11.5,".332",".342",35,9.4,36.7,"75.912309009","93.710812694",26.1,46.4
"Bradish, Kyle","680694","2023","671",25,6.6,".268",".300",33.3,6.9,42,"80.023999375","94.268400156",25.9,45.8
"Miller, Bryce","682243","2023","537",22.2,4.8,".309",".337",38.7,10.9,42.1,"80.533819372","94.75094644",24.1,52.8
"Waldichuk, Ken","686610","2023","639",20.7,11.1,".361",".332",34.7,7.7,38.5,"77.103488815","93.79839827",25.1,47.5
"Brown, Hunter","686613","2023","665",26.8,8.3,".340",".318",30,10.9,44.4,"80.710690569","94.872462251",24.8,46.4
"Elder, Bryce","693821","2023","732",17.5,8.6,".309",".329",32,6,41,"79.502454545","94.398947273",23.5,46.3
