batter,ERA_range,pitch_type_CH,pitch_type_CU,pitch_type_EP,pitch_type_FC,pitch_type_FF,pitch_type_FS,pitch_type_FT,pitch_type_IN,pitch_type_KC,pitch_type_KN,pitch_type_PO,pitch_type_RB,pitch_type_SC,pitch_type_SI,pitch_type_SL,pitch_type_UN,pitch_type_Unknown,velocity_Slow,velocity_Medium,velocity_Fast,velocity_Very Fast,ERA_Excellent,ERA_Good,ERA_Average,ERA_Poor,ERA_Very Poor
fowledu01,11,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,3,8,2,0,0,2,1,1,1,6
foxlu01,2,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,2,0,0,0,0
fraleja01,190,24,69,6,11,0,0,0,31,0,0,0,24,23,4,0,0,24,73,81,26,1,27,13,9,36,105
francma02,167,14,60,1,14,0,0,1,32,0,2,0,9,33,1,0,2,7,61,56,36,0,11,11,17,43,85
francty01,477,36,142,6,37,0,0,0,87,0,26,0,27,85,8,0,1,49,204,157,63,1,41,39,52,110,235
francwa01,306,24,95,4,18,0,0,1,45,0,4,0,7,44,9,0,2,60,133,100,44,0,39,18,24,62,163
fraziad01,420,28,165,11,35,0,0,0,58,0,5,0,21,59,9,0,0,52,152,163,63,2,51,39,45,83,202
frazicl01,61,5,28,0,3,0,1,0,8,0,0,0,11,6,3,0,0,7,20,22,13,0,5,5,7,15,29
frazito01,4,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,1,0,0,1,2
freelky01,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,1,0,2,1
freemfr01,624,56,220,13,36,0,0,2,93,0,10,0,14,88,11,0,1,95,255,241,87,2,49,46,33,134,362
freemmi01,12,2,2,0,1,0,0,0,3,0,0,0,4,1,0,0,0,3,7,2,2,0,2,0,0,2,8
freemty01,62,2,22,0,3,0,1,0,10,0,2,0,10,12,1,0,0,9,28,27,4,0,10,8,5,11,28
freitda01,4,0,1,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,1,2,1,0,2,0,1,0,1
frelisa01,49,8,20,0,2,0,0,0,7,0,1,0,15,6,0,0,0,6,22,16,11,0,9,7,6,10,17
friedma01,15,2,3,1,2,0,0,0,5,0,0,0,0,1,0,0,0,1,6,6,1,0,5,0,1,3,6
friedtj01,201,16,86,4,12,0,0,0,39,0,0,0,9,17,5,0,0,22,75,84,33,0,28,32,16,45,80
fryda01,31,2,10,0,1,0,0,0,8,0,1,0,7,4,0,0,0,5,12,13,4,1,3,1,1,9,17
fuentjo01,71,5,23,0,7,0,0,1,11,0,0,0,5,15,2,0,0,7,35,19,9,0,8,9,11,15,28
galero01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gallaca01,57,7,19,0,7,0,0,0,6,0,1,0,12,11,0,0,0,6,24,22,6,0,4,4,11,11,27
galleza01,6,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,3,1,0,1,0,2,1,2
gallojo01,215,13,85,7,12,0,2,2,29,0,3,0,10,30,5,0,1,26,93,83,28,0,25,18,12,27,133
galvifr01,89,6,26,0,9,0,0,0,16,0,2,0,3,8,1,0,0,21,38,27,13,0,11,7,9,18,44
gamelbe01,182,10,73,4,9,0,0,1,37,0,3,0,6,18,2,0,0,25,65,79,27,1,23,8,19,43,89
garciad02,451,31,133,5,27,0,1,0,90,0,22,0,18,92,8,0,0,43,191,149,68,1,52,42,38,79,240
garciar01,43,3,15,2,2,0,0,0,9,0,0,0,14,11,0,0,0,1,16,23,3,0,6,4,1,10,22
garciav01,236,15,70,2,16,0,0,0,52,0,3,0,5,56,4,0,1,17,96,95,27,0,22,24,21,44,125
garcide02,24,1,2,0,1,0,0,0,10,0,0,0,3,8,0,0,0,2,11,8,3,0,2,4,1,4,13
garcigr01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
garcijo02,66,1,18,2,8,0,0,1,17,0,4,0,5,11,2,0,0,2,25,23,6,0,8,8,6,14,30
garcile02,177,11,64,8,12,0,0,0,30,0,1,0,16,20,1,0,1,30,64,77,20,0,38,18,19,34,68
garcilu04,284,20,95,5,27,0,0,0,41,0,10,0,10,47,4,0,0,35,128,86,44,2,30,40,28,56,130
